id,ACTION
1,0.9584615
2,0.9867145
3,0.9983365
4,0.9978965
5,0.9986475
6,0.998568
7,0.9528055
8,0.997951
9,0.900712
10,0.984363
11,0.9413505
12,0.989069
13,0.97208
14,0.8844345
15,0.972533
16,0.9136705
17,0.77318
18,0.905994
19,0.988949
20,0.9981725
21,0.9995985
22,0.995769
23,0.976287
24,0.9753055
25,0.9975125
26,0.9166365
27,0.962655
28,0.9748805
29,0.9875935
30,0.9354725
31,0.994589
32,0.990753
33,0.993333
34,0.9915565
35,0.9880345
36,0.993367
37,0.9909465
38,0.994885
39,0.974505
40,0.9539495
41,0.963699
42,0.9851835
43,0.99129
44,0.9954225
45,0.993722
46,0.970722
47,0.9995485
48,0.991222
49,0.997971
50,0.975154
51,0.963887
52,0.9962845
53,0.9915895
54,0.9989055
55,0.9662445
56,0.9965635
57,0.989451
58,0.998658
59,0.9609125
60,0.9637115
61,0.9980795
62,0.9941035
63,0.9824715
64,0.99889
65,0.998334
66,0.9847425
67,0.9582705
68,0.9985085
69,0.967163
70,0.6258775
71,0.982633
72,0.99144
73,0.998302
74,0.9981515
75,0.9939155
76,0.9984215
77,0.9970265
78,0.9365595
79,0.5601205
80,0.99937
81,0.9767875
82,0.994121
83,0.96145
84,0.9951925
85,0.9952325
86,0.9798915
87,0.988104
88,0.997069
89,0.997639
90,0.7751845
91,0.9939955
92,0.7367435
93,0.998797
94,0.988686
95,0.9927085
96,0.9892555
97,0.3260055
98,0.9231385
99,0.997013
100,0.998885
101,0.926313
102,0.617502
103,0.99814
104,0.990673
105,0.5016505
106,0.9981615
107,0.996592
108,0.9757565
109,0.9943485
110,0.9846745
111,0.6718105
112,0.982449
113,0.9741095
114,0.9925485
115,0.988216
116,0.98367
117,0.9940905
118,0.9727975
119,0.998634
120,0.989257
121,0.966139
122,0.987328
123,0.94778
124,0.9808425
125,0.995359
126,0.910765
127,0.889419
128,0.9211605
129,0.9526025
130,0.9595765
131,0.9977475
132,0.997042
133,0.98014
134,0.9498025
135,0.9984575
136,0.9825665
137,0.996673
138,0.9651065
139,0.8769435
140,0.999494
141,0.999209
142,0.9737305
143,0.997607
144,0.9906025
145,0.9997895
146,0.6732495
147,0.8834545
148,0.898293
149,0.999603
150,0.9917485
151,0.993167
152,0.6822515
153,0.990482
154,0.9760815
155,0.987065
156,0.972008
157,0.963363
158,0.9882335
159,0.8883065
160,0.9848735
161,0.9519385
162,0.9934255
163,0.9952855
164,0.97799
165,0.995396
166,0.9868335
167,0.9458205
168,0.96905
169,0.987614
170,0.9951505
171,0.9967925
172,0.992629
173,0.981738
174,0.995681
175,0.9879935
176,0.997679
177,0.893139
178,0.9977525
179,0.999747
180,0.958878
181,0.7214265
182,0.9898475
183,0.8748895
184,0.8350895
185,0.9925715
186,0.985966
187,0.9989705
188,0.9927145
189,0.617071
190,0.990288
191,0.997787
192,0.990218
193,0.998866
194,0.9947425
195,0.9844815
196,0.9977505
197,0.9928075
198,0.9854695
199,0.994946
200,0.6064395
201,0.995097
202,0.9534065
203,0.9768185
204,0.982763
205,0.945501
206,0.986713
207,0.9966785
208,0.9837115
209,0.5951975
210,0.7512695
211,0.965587
212,0.92496
213,0.999197
214,0.988284
215,0.9960355
216,0.9555955
217,0.976331
218,0.9828905
219,0.99805
220,0.9847565
221,0.601624
222,0.999708
223,0.9987425
224,0.988273
225,0.9756705
226,0.8050695
227,0.955373
228,0.9933335
229,0.9973875
230,0.996734
231,0.9767015
232,0.9204005
233,0.9177235
234,0.210924
235,0.953817
236,0.851595
237,0.984819
238,0.970162
239,0.939612
240,0.998235
241,0.984585
242,0.659308
243,0.368754
244,0.9919755
245,0.9914795
246,0.9926425
247,0.9808155
248,0.9871545
249,0.98117
250,0.993859
251,0.9793075
252,0.8670185
253,0.9783085
254,0.99957
255,0.9995535
256,0.9774395
257,0.9908705
258,0.881542
259,0.9908185
260,0.9983615
261,0.9836125
262,0.9726815
263,0.997009
264,0.9981615
265,0.996001
266,0.9827145
267,0.990787
268,0.9977955
269,0.9885365
270,0.997809
271,0.995768
272,0.9384925
273,0.9977155
274,0.4435745
275,0.9991645
276,0.936487
277,0.975635
278,0.9915425
279,0.948485
280,0.964054
281,0.9998145
282,0.9924995
283,0.962733
284,0.9201215
285,0.9988765
286,0.985046
287,0.997782
288,0.9984
289,0.9970335
290,0.9947275
291,0.7818705
292,0.7361225
293,0.991097
294,0.977279
295,0.99174
296,0.274594
297,0.4795395
298,0.98994
299,0.875825
300,0.9924505
301,0.8963375
302,0.9986715
303,0.6933265
304,0.9150085
305,0.995095
306,0.9976005
307,0.9909245
308,0.999777
309,0.9671495
310,0.9894445
311,0.9953445
312,0.991358
313,0.9975015
314,0.9794135
315,0.9856415
316,0.997116
317,0.949699
318,0.9983555
319,0.8670635
320,0.99941
321,0.9941945
322,0.260207
323,0.9988445
324,0.9851805
325,0.9713095
326,0.874224
327,0.9958805
328,0.999453
329,0.9877855
330,0.9344015
331,0.9968935
332,0.985576
333,0.9878335
334,0.943096
335,0.996763
336,0.920215
337,0.9873295
338,0.996874
339,0.995438
340,0.976272
341,0.9944185
342,0.987808
343,0.9646745
344,0.999747
345,0.9875455
346,0.971678
347,0.991563
348,0.9861725
349,0.995004
350,0.731203
351,0.9872595
352,0.9968445
353,0.987525
354,0.7043565
355,0.9819825
356,0.998471
357,0.976028
358,0.9950565
359,0.9836515
360,0.561939
361,0.9760025
362,0.9879395
363,0.987861
364,0.9306485
365,0.9997195
366,0.9977125
367,0.9898905
368,0.997503
369,0.988113
370,0.998797
371,0.9932615
372,0.971574
373,0.806697
374,0.237933
375,0.9768195
376,0.987583
377,0.698388
